Client,Workstream,Priority,Area,Assign To,Start,Finish,Duration,Status,Remarks,Week,Risks and Dependencies,Month,Year
ARCT Hennes Bay,ARCT Hennes Bay 3D Modeling requirements,1,Design,Glen,13-Sep-26,13-Sep-26,0,Completed,Urgent requirements of 3D Modeling,37,Inputs and assumptions,9,2026
ARCT Hennes Bay,ARCT Hennes Bay visualization inputs and requirements for Client and collaboration with Movies and 3D modeling teams,1,Others,Glen,14-Sep-26,17-Sep-26,3,Completed,Additional inputs based on the initial rendered movie,38,Inputs and assumptions,9,2026
Internal,Deswik planning training for Jr. EM,2,Training,"Glen, King",14-Sep-26,18-Sep-26,4,In progress,Continuous upskilling/familiarization of Deswik software for Jr. EM,38,Availability of reference materials,9,2026
TML Tenant Creek Dist,Mining support requirements,1,Others,King,16-Sep-26,16-Sep-26,0,Completed,Repair and validation of surface topography and boundary as requestred by Clinton G.,38,Inputs and assumptions,9,2026
ARCT Bidjovagge,ARCT Bidjovagge visualization review and input requirements for Movies team,1,Others,Glen,17-Sep-26,17-Sep-26,0,Completed,Additional inputs based on the initial rendered movie,38,Inputs and assumptions,9,2026
TML Tenant Creek Dist,Daily Dashboard upgrade for TML,1,Procedure,Glen,19-Sep-26,20-Sep-26,1,Completed,Dashboard upgrade as requested by Andrew,38,Inputs and assumptions,9,2026
Internal,Deswik planning training for Jr. EM,2,Training,"Glen, King",21-Sep-26,25-Sep-26,4,In progress,Continuous upskilling/familiarization of Deswik software for Jr. EM,39,Availability of reference materials,9,2026
TML Tenant Creek Dist,Daily Dashboard upgrade for TML,1,Procedure,Glen,21-Sep-26,23-Sep-26,2,Completed,Minor revision of upgraded revised dashboard,39,Inputs and assumptions,9,2026
Internal,Strategic marketing for business unit,2,Others,"Glen, King",24-Sep-26,25-Sep-26,1,In progress,Marketing pitch and image for marketing,39,Resource materials,9,2026
TML Tenant Creek Dist,TML 10-Year Work Program,3,,,,,0,Upcoming,Set schedule; resource plan,,Resource planning risk,,
EVN Mungari,Mungarri Mining support,3,,,,,0,Upcoming,Set schedule; resource plan,,Resource planning risk,,
Internal,Deswik Training (3rd party),3,,,,,0,Upcoming,Set schedule; resource plan,,Resource planning risk,,
